start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month_d1,sunset_time,hours_after_sunset_d1,season,date_d1,key_time,time,month_d2,hours_after_sunset_d2,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,date_d2,merge_time,hours_after_sunset,rat_influence,risk_reward_ratio,season_0_x_rat_arrival,season_1_x_rat_arrival,rat_influence_log,risk_reward_ratio_log
,,,,,,,,,,,0,,2017-12-27 17:43:00,2017-12-27 17:43:00,0,1.0,35.0,4.0,0.0,0.0,12/27/2017,2017-12-27 17:43:00,1.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-27 18:13:00,2017-12-27 18:13:00,0,1.5,22.0,4.0,0.0,0.0,12/27/2017,2017-12-27 18:13:00,1.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-27 18:43:00,2017-12-27 18:43:00,0,2.0,24.0,3.964516129,0.0,0.0,12/27/2017,2017-12-27 18:43:00,2.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-27 19:13:00,2017-12-27 19:13:00,0,2.5,30.0,3.566666667,0.0,0.0,12/27/2017,2017-12-27 19:13:00,2.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-27 19:43:00,2017-12-27 19:43:00,0,3.0,73.0,3.102150538,0.0,0.0,12/27/2017,2017-12-27 19:43:00,3.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-27 20:13:00,2017-12-27 20:13:00,0,3.5,67.0,3.0,0.0,0.0,12/27/2017,2017-12-27 20:13:00,3.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-27 20:43:00,2017-12-27 20:43:00,0,4.0,2.0,3.0,0.0,0.0,12/27/2017,2017-12-27 20:43:00,4.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-27 21:13:00,2017-12-27 21:13:00,0,4.5,25.0,3.0,0.0,0.0,12/27/2017,2017-12-27 21:13:00,4.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-27 21:43:00,2017-12-27 21:43:00,0,5.0,48.0,2.970430108,0.0,0.0,12/27/2017,2017-12-27 21:43:00,5.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-27 22:13:00,2017-12-27 22:13:00,0,5.5,52.0,2.583333333,0.0,0.0,12/27/2017,2017-12-27 22:13:00,5.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-27 22:43:00,2017-12-27 22:43:00,0,6.0,61.0,2.112903226,0.0,0.0,12/27/2017,2017-12-27 22:43:00,6.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-27 23:13:00,2017-12-27 23:13:00,0,6.5,17.0,2.0,0.0,0.0,12/27/2017,2017-12-27 23:13:00,6.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-27 23:43:00,2017-12-27 23:43:00,0,7.0,12.0,2.0,0.0,0.0,12/27/2017,2017-12-27 23:43:00,7.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 00:13:00,2017-12-28 00:13:00,0,7.5,11.0,2.0,0.0,0.0,12/28/2017,2017-12-28 00:13:00,7.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 00:43:00,2017-12-28 00:43:00,0,8.0,34.0,1.953405018,0.5104166668750001,1.0,12/28/2017,2017-12-28 00:43:00,8.0,4.166666667,0.46881720428249457,1.0,0.0,1.6422277353216075,0.3844574539707837
,,,,,,,,,,,0,,2017-12-28 01:13:00,2017-12-28 01:13:00,0,8.5,40.0,1.555555556,0.0,0.0,12/28/2017,2017-12-28 01:13:00,8.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 01:43:00,2017-12-28 01:43:00,0,9.0,37.0,1.107526882,0.0,0.0,12/28/2017,2017-12-28 01:43:00,9.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 02:13:00,2017-12-28 02:13:00,0,9.5,34.0,1.0,0.0,0.0,12/28/2017,2017-12-28 02:13:00,9.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 02:43:00,2017-12-28 02:43:00,0,10.0,23.0,1.0,0.0,0.0,12/28/2017,2017-12-28 02:43:00,10.0,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 03:13:00,2017-12-28 03:13:00,0,10.5,21.0,1.0,0.0,0.0,12/28/2017,2017-12-28 03:13:00,10.5,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 03:43:00,2017-12-28 03:43:00,0,11.0,5.0,0.971774194,0.5104166668750001,1.0,12/28/2017,2017-12-28 03:43:00,11.0,16.01666667,0.060672686397362605,1.0,0.0,2.8341932561384513,0.058903316653155215
2017-12-28 03:58:00,2.0,fast,2017-12-28 03:56:00,2017-12-28 04:13:00,107.0,0.0,1.0,0,2017-12-27 16:43:00,11.5,0,12/28/2017,2017-12-28 03:58:00,,,,,,,,,2017-12-28 03:58:00,,0.0,,0.0,0.0,0.0,
2017-12-28 04:02:00,2.0,fast,2017-12-28 03:56:00,2017-12-28 04:13:00,358.0,0.0,1.0,0,2017-12-27 16:43:00,11.5,0,12/28/2017,2017-12-28 04:02:00,,,,,,,,,2017-12-28 04:02:00,,0.0,,0.0,0.0,0.0,
,,,,,,,,,,,0,,2017-12-28 04:13:00,2017-12-28 04:13:00,0,11.5,11.0,0.730769231,0.5104166668750001,1.0,12/28/2017,2017-12-28 04:13:00,11.5,0.883333333,0.8272859221989758,1.0,0.0,0.6330432563132488,0.6028317633445046
,,,,,,,,,,,0,,2017-12-28 04:43:00,2017-12-28 04:43:00,0,12.0,3.0,0.442307692,0.0,0.0,12/28/2017,2017-12-28 04:43:00,12.0,0.0,,0.0,0.0,0.0,
