start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,date
2018-02-10 00:49:00,0.089216347,fast,10/02/2018 0:49,10/02/2018 0:51,18,0,1,2,9/02/2018 17:21,7.5,0,2018-02-10
2018-02-10 00:49:00,2.0,rat,10/02/2018 0:49,10/02/2018 0:51,56,1,0,2,9/02/2018 17:21,7.5,0,2018-02-10
2018-02-10 00:50:00,0.041390374,fast,10/02/2018 0:49,10/02/2018 0:51,65,0,1,2,9/02/2018 17:21,7.5,0,2018-02-10
2018-02-10 00:50:00,0.090143902,rat,10/02/2018 0:49,10/02/2018 0:51,81,1,0,2,9/02/2018 17:21,7.5,0,2018-02-10
2018-02-10 00:50:00,20.0,both,10/02/2018 0:49,10/02/2018 0:51,102,0,0,2,9/02/2018 17:21,7.5,0,2018-02-10
2018-02-10 00:51:00,2.0,rat,10/02/2018 0:49,10/02/2018 0:51,149,1,0,2,9/02/2018 17:21,7.5,0,2018-02-10
2018-02-10 00:44:00,7.0,bat,10/02/2018 0:43,10/02/2018 0:45,61,1,0,2,9/02/2018 17:21,7.5,0,2018-02-10
2018-02-10 00:44:00,21.0,pick_bat,10/02/2018 0:43,10/02/2018 0:45,65,1,1,2,9/02/2018 17:21,7.5,0,2018-02-10
2018-02-10 00:44:00,4.0,pick,10/02/2018 0:43,10/02/2018 0:45,68,0,1,2,9/02/2018 17:21,7.5,0,2018-02-10
2018-02-10 00:44:00,2.0,pick,10/02/2018 0:43,10/02/2018 0:45,80,0,1,2,9/02/2018 17:21,7.5,0,2018-02-10
2018-02-07 18:32:00,1.0,rat,7/02/2018 18:29,7/02/2018 18:44,166,1,0,2,7/02/2018 17:19,1.0,0,2018-02-07
2018-02-07 22:58:00,14.0,pick,7/02/2018 22:53,7/02/2018 22:58,299,0,1,2,7/02/2018 17:19,5.5,0,2018-02-07
