date,hours_after_sunset,risk,reward,bat_landing_to_food,seconds_after_rat_arrival,habit,food_availability,rat_arrival_number,bat_landing_number
2018-02-16,5.0,1,0,16.0,181,rat,3.0,0.0,65.0
2018-02-16,5.0,1,0,2.0,201,rat,3.0,0.0,65.0
2018-02-16,5.0,0,1,1.0,206,fast,3.0,0.0,65.0
2018-02-16,5.0,1,0,0.07570842,250,rat_attack,3.0,0.0,65.0
2018-02-19,7.0,0,1,0.057540536,157,fast,2.0,1.0,39.0
2018-02-19,8.0,1,0,3.0,6,rat,1.301587302,1.0,40.0
2018-02-10,4.0,1,0,5.0,222,rat,3.0,8.0,92.0
2018-02-10,4.0,1,0,1.0,68,rat,3.0,8.0,92.0
2018-02-10,4.0,1,0,2.0,75,rat,3.0,8.0,92.0
2018-02-10,4.5,1,0,1.0,6,rat,2.863978495,2.0,60.0
2018-02-10,4.5,1,0,4.0,92,rat,2.863978495,2.0,60.0
2018-02-10,4.5,1,0,13.0,137,rat,2.863978495,2.0,60.0
2018-02-10,4.5,1,0,1.0,155,rat,2.863978495,2.0,60.0
2018-02-10,4.5,0,1,2.0,158,fast,2.863978495,2.0,60.0
2018-02-10,4.5,1,0,1.0,224,rat,2.863978495,2.0,60.0
2018-02-11,7.0,1,0,1.0,35,rat,1.4,1.0,70.0
2018-02-11,8.0,0,1,5.0,7,pick,1.0,0.0,56.0
2018-02-11,8.5,1,0,0.04438061,105,rat,0.88320356,1.0,49.0
2018-02-11,8.5,1,0,3.0,132,rat,0.88320356,1.0,49.0
2018-02-11,8.5,0,1,1.0,242,fast,0.88320356,1.0,49.0
2018-02-11,8.5,0,1,6.0,269,fast,0.88320356,1.0,49.0
2018-02-11,8.5,1,0,24.0,286,rat,0.88320356,1.0,49.0
2018-02-10,2.0,0,1,0.097399911,13,fast,4.0,1.0,47.0
2018-02-17,3.5,1,0,2.0,20,rat,3.0,1.0,68.0
2018-02-17,3.5,1,0,1.0,35,rat,3.0,1.0,68.0
2018-02-17,3.5,1,0,2.0,42,rat,3.0,1.0,68.0
2018-02-17,0.0,0,1,0.050211363,139,fast,4.0,2.0,8.0
2018-03-18,4.0,0,1,3.0,2,fast,3.0,0.0,79.0
2018-03-18,4.0,0,1,2.0,73,fast,3.0,0.0,79.0
2018-03-18,4.0,0,1,1.0,105,fast,3.0,0.0,79.0
2018-03-18,4.0,0,1,2.0,130,fast,3.0,0.0,79.0
2018-03-29,6.0,0,1,4.0,71,pick,2.800105764,0.0,46.0
2018-03-29,6.0,1,0,0.046019395,192,rat,2.800105764,0.0,46.0
2018-03-29,6.0,0,1,9.0,220,pick,2.800105764,0.0,46.0
2018-03-29,6.0,0,1,18.0,239,pick,2.800105764,0.0,46.0
2018-03-29,6.0,1,0,14.0,250,rat,2.800105764,0.0,46.0
2018-03-29,6.0,0,1,3.0,265,fast,2.800105764,0.0,46.0
2018-03-29,6.0,1,0,12.0,279,rat,2.800105764,0.0,46.0
2018-03-29,6.0,0,1,15.0,295,pick,2.800105764,0.0,46.0
2018-03-29,6.0,0,1,2.0,426,fast,2.800105764,0.0,46.0
2018-03-29,6.0,1,0,34.0,452,rat,2.800105764,0.0,46.0
2018-03-29,6.0,1,0,11.0,507,rat,2.800105764,0.0,46.0
2018-03-29,7.5,0,1,0.013008356,29,fast,2.0,0.0,61.0
2018-03-29,7.5,0,1,2.0,135,fast,2.0,0.0,61.0
2018-03-29,7.5,1,0,2.0,188,rat,2.0,0.0,61.0
2018-03-29,7.5,1,0,0.028276798,329,rat,2.0,0.0,61.0
2018-03-20,8.5,1,1,4.0,46,rat_pick,2.423728814,0.0,28.0
2018-03-20,9.5,0,1,2.0,108,fast,2.0,0.0,16.0
2018-03-31,7.0,0,1,3.0,537,fast,0.779689297,0.0,28.0
2018-03-31,7.0,0,1,0.064154735,572,fast,0.779689297,0.0,28.0
2018-04-02,3.0,1,0,10.0,381,rat,2.774193548,1.0,98.0
2018-04-02,3.0,1,0,8.0,436,rat_and_bat,2.774193548,1.0,98.0
2018-04-02,3.0,0,1,2.0,450,fast,2.774193548,1.0,98.0
2018-04-02,3.0,1,0,6.0,455,rat_and_bat,2.774193548,1.0,98.0
2018-04-02,3.0,0,1,0.030293066,558,fast,2.774193548,1.0,98.0
2018-04-02,3.0,1,0,7.0,662,rat,2.774193548,1.0,98.0
2018-04-02,3.0,1,0,6.0,673,rat,2.774193548,1.0,98.0
2018-04-02,3.0,0,1,18.0,668,pick,2.774193548,1.0,98.0
2018-04-02,3.0,1,0,17.0,695,rat_and_bat,2.774193548,1.0,98.0
2018-04-02,4.0,0,1,1.0,128,fast,2.0,1.0,69.0
2018-04-02,4.5,0,1,6.0,381,pick,2.0,1.0,91.0
2018-04-02,4.5,0,1,2.0,80,fast,2.0,1.0,91.0
2018-04-02,4.5,0,1,1.0,177,fast,2.0,1.0,91.0
2018-04-02,4.5,1,0,11.0,223,other_bat,2.0,1.0,91.0
2018-04-02,5.0,0,1,3.0,234,fast,,,
2018-04-02,5.0,0,1,25.0,239,pick,,,
2018-04-02,5.0,1,0,3.0,262,rat,,,
2018-04-02,5.0,1,0,11.0,287,rat,,,
2018-04-02,5.0,0,1,15.0,355,pick,,,
2018-04-03,6.0,0,1,0.069936967,53,fast,1.758064516,1.0,67.0
2018-04-03,6.0,0,1,1.0,82,fast,1.758064516,1.0,67.0
2018-04-03,6.0,0,1,1.0,98,fast,1.758064516,1.0,67.0
2018-04-03,6.0,0,1,4.0,101,pick,1.758064516,1.0,67.0
2018-04-03,6.0,1,0,0.036982956,112,rat,1.758064516,1.0,67.0
2018-04-03,6.0,1,0,1.0,120,rat,1.758064516,1.0,67.0
2018-04-03,6.0,0,1,2.0,128,fast,1.758064516,1.0,67.0
2018-04-03,6.0,0,1,4.0,180,fast,1.758064516,1.0,67.0
2018-04-03,6.0,1,0,3.0,232,rat,1.758064516,1.0,67.0
2018-04-03,6.0,0,1,3.0,435,fast,1.758064516,1.0,67.0
2018-04-03,6.0,0,1,6.0,612,fast,1.758064516,1.0,67.0
2018-04-03,6.0,0,1,1.0,708,fast,1.758064516,1.0,67.0
2018-04-03,6.0,1,0,9.0,777,rat,1.758064516,1.0,67.0
2018-04-03,6.0,1,0,23.0,806,rat,1.758064516,1.0,67.0
2018-04-03,2.5,0,1,3.0,90,fast,3.0,1.0,77.0
2018-04-03,2.5,0,1,3.0,376,fast,3.0,1.0,77.0
2018-04-03,2.5,0,1,2.0,452,fast,3.0,1.0,77.0
2018-04-03,4.5,0,1,2.0,12,fast,2.295081967,1.0,82.0
2018-04-03,4.5,1,0,9.0,31,rat,2.295081967,1.0,82.0
2018-04-03,4.5,0,1,4.0,58,fast,2.295081967,1.0,82.0
2018-04-03,4.5,1,0,5.0,187,rat,2.295081967,1.0,82.0
2018-04-03,4.5,1,0,4.0,197,rat,2.295081967,1.0,82.0
2018-04-03,4.5,0,1,1.0,224,fast,2.295081967,1.0,82.0
2018-04-03,4.5,1,0,48.0,312,rat,2.295081967,1.0,82.0
2018-04-03,4.5,0,1,3.0,312,fast,2.295081967,1.0,82.0
2018-04-03,4.5,1,0,0.010238211,402,rat_to_bat,2.295081967,1.0,82.0
2018-04-03,4.5,0,1,2.0,597,fast,2.295081967,1.0,82.0
2018-04-03,4.5,1,0,2.0,949,rat,2.295081967,1.0,82.0
2018-04-04,6.0,1,0,3.0,12,rat,2.0,0.0,69.0
2018-04-04,6.0,0,1,4.0,25,fast,2.0,0.0,69.0
2018-04-04,6.0,1,0,22.0,59,other_bats/rat,2.0,0.0,69.0
2018-04-04,6.0,0,1,2.0,97,fast,2.0,0.0,69.0
2018-04-04,6.0,0,1,2.0,112,fast,2.0,0.0,69.0
2018-04-04,6.0,1,0,59.0,165,rat,2.0,0.0,69.0
2018-04-04,6.0,0,1,4.0,217,fast,2.0,0.0,69.0
2018-04-04,6.0,1,0,1.0,357,rat,2.0,0.0,69.0
2018-04-04,6.0,1,0,14.0,418,rat,2.0,0.0,69.0
2018-04-04,6.0,0,1,1.0,624,fast,2.0,0.0,69.0
2018-04-26,2.0,1,0,6.0,22,rat,3.0,1.0,84.0
2018-04-26,2.0,1,0,2.0,29,bat_and_rat,3.0,1.0,84.0
2018-04-26,2.0,1,1,8.0,45,bat_and_pick,3.0,1.0,84.0
2018-04-26,2.0,1,0,5.0,66,bat_and_rat,3.0,1.0,84.0
2018-04-26,2.0,1,0,2.0,76,bat_fight,3.0,1.0,84.0
2018-04-26,2.0,1,0,15.0,88,bat_fight,3.0,1.0,84.0
2018-04-26,2.0,1,1,4.0,101,bat_fight_and_pick,3.0,1.0,84.0
2018-04-26,3.0,1,0,15.0,16,bat,3.0,2.0,79.0
2018-04-26,3.0,1,1,18.0,33,bat_and_pick,3.0,2.0,79.0
