start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,date
2/10/2018 0:44,3,fast,2/10/2018 0:43,2/10/2018 0:45,96,0,1,2,2/09/2018 17:21,7.5,0,2/10/2018
2/10/2018 0:49,0.089216347,fast,2/10/2018 0:49,2/10/2018 0:51,18,0,1,2,2/09/2018 17:21,7.5,0,2/10/2018
2/10/2018 0:49,2,rat,2/10/2018 0:49,2/10/2018 0:51,56,1,0,2,2/09/2018 17:21,7.5,0,2/10/2018
2/10/2018 0:50,0.041390374,fast,2/10/2018 0:49,2/10/2018 0:51,65,0,1,2,2/09/2018 17:21,7.5,0,2/10/2018
2/10/2018 0:50,0.090143902,rat,2/10/2018 0:49,2/10/2018 0:51,81,1,0,2,2/09/2018 17:21,7.5,0,2/10/2018
2/10/2018 0:50,20,both,2/10/2018 0:49,2/10/2018 0:51,102,0,0,2,2/09/2018 17:21,7.5,0,2/10/2018
2/10/2018 0:51,2,rat,2/10/2018 0:49,2/10/2018 0:51,149,1,0,2,2/09/2018 17:21,7.5,0,2/10/2018
2/10/2018 0:44,7,bat,2/10/2018 0:43,2/10/2018 0:45,61,1,0,2,2/09/2018 17:21,7.5,0,2/10/2018
2/10/2018 0:44,21,pick_bat,2/10/2018 0:43,2/10/2018 0:45,65,1,1,2,2/09/2018 17:21,7.5,0,2/10/2018
2/10/2018 0:44,4,pick,2/10/2018 0:43,2/10/2018 0:45,68,0,1,2,2/09/2018 17:21,7.5,0,2/10/2018
2/10/2018 0:44,2,pick,2/10/2018 0:43,2/10/2018 0:45,80,0,1,2,2/09/2018 17:21,7.5,0,2/10/2018
2/07/2018 18:32,1,rat,2/07/2018 18:29,2/07/2018 18:44,166,1,0,2,2/07/2018 17:19,1,0,2/07/2018
2/07/2018 22:58,14,pick,2/07/2018 22:53,2/07/2018 22:58,299,0,1,2,2/07/2018 17:19,5.5,0,2/07/2018
2/08/2018 1:47,8,rat_attack,2/08/2018 1:47,2/08/2018 1:48,7,1,0,2,2/07/2018 17:19,8.5,0,2/08/2018
2/08/2018 1:52,1,fast,2/08/2018 1:52,2/08/2018 1:52,2,0,1,2,2/07/2018 17:19,8.5,0,2/08/2018
2/08/2018 2:06,6,rat,2/08/2018 2:05,2/08/2018 2:09,74,1,0,2,2/07/2018 17:19,9,0,2/08/2018
2/08/2018 2:06,1,rat,2/08/2018 2:05,2/08/2018 2:09,80,1,0,2,2/07/2018 17:19,9,0,2/08/2018
2/08/2018 2:07,7,rat,2/08/2018 2:05,2/08/2018 2:09,99,1,0,2,2/07/2018 17:19,9,0,2/08/2018
2/08/2018 2:07,4,rat,2/08/2018 2:05,2/08/2018 2:09,116,1,0,2,2/07/2018 17:19,9,0,2/08/2018
2/08/2018 2:08,4,rat,2/08/2018 2:05,2/08/2018 2:09,200,1,0,2,2/07/2018 17:19,9,0,2/08/2018
2/08/2018 3:41,0.035867953,rat,2/08/2018 3:41,2/08/2018 3:45,27,1,0,2,2/07/2018 17:19,10.5,0,2/08/2018
2/02/2018 0:43,2,fast,2/02/2018 0:40,2/02/2018 0:44,184,0,1,2,2/01/2018 17:14,7.5,0,2/02/2018
2/02/2018 0:44,1,rat,2/02/2018 0:40,2/02/2018 0:44,239,1,0,2,2/01/2018 17:14,7.5,0,2/02/2018
2/09/2018 0:06,3,fast,2/09/2018 0:06,2/09/2018 0:06,2,0,1,2,2/08/2018 17:20,7,0,2/09/2018
2/09/2018 0:11,1,rat,2/09/2018 0:09,2/09/2018 0:13,135,1,0,2,2/08/2018 17:20,7,0,2/09/2018
2/09/2018 0:26,17,pick,2/09/2018 0:26,2/09/2018 0:32,2,0,1,2,2/08/2018 17:20,7,0,2/09/2018
